#,船,等级,舰种,绝对强度%,同级强度%,同舰种同级强度%,相对经验(中位),场均经验,胜率,五星率,玩家数,场次
36,Michelangelo,9,Cruiser,95.3,98.7,100.0,1.201,2391.4,0.878,0.548,941,29571
37,U-2501,10,Submarine,95.1,81.4,33.3,1.198,1922.4,0.825,0.467,356,6505
38,Hawaii,10,Cruiser,95.0,80.7,71.9,1.196,2245.0,0.888,0.537,1274,28316
39,Ohio,10,Battleship,94.9,80.1,85.4,1.192,2230.9,0.823,0.472,1741,38877
40,U-4501,10,Submarine,94.7,79.5,25.0,1.191,1992.2,0.845,0.498,736,17989
41,Zaō,10,Cruiser,94.7,79.5,70.2,1.191,2014.4,0.799,0.44,1008,25089
42,BA Utnapishtim's Ship,9,Cruiser,94.7,98.0,98.3,1.191,2454.1,0.824,0.476,261,4582
43,AL Hindenburg,10,Cruiser,94.3,78.3,68.4,1.187,2306.9,0.798,0.44,411,11292
44,Irresistible,10,Battleship,94.3,78.3,82.9,1.187,2418.1,0.845,0.496,401,6307
45,Surcouf,10,Submarine,94.1,77.0,16.7,1.182,2305.6,0.869,0.542,145,2917
46,Los Andes,9,Battleship,93.9,97.3,96.4,1.181,2177.4,0.874,0.538,5553,108445
47,Suzuya Golden,9,Cruiser,93.8,96.7,96.6,1.178,2386.4,0.843,0.49,141,4390
48,Sicilia,10,Battleship,93.7,76.4,80.5,1.177,2277.2,0.824,0.471,525,12662
49,Prins van Oranje Golden,10,Cruiser,93.5,75.8,66.7,1.175,2473.0,0.842,0.52,98,1309
50,ARP Yamato,10,Battleship,93.4,75.2,78.0,1.172,1967.8,0.782,0.421,250,6061
51,Mecklenburg,10,Battleship,93.3,74.5,75.6,1.17,2082.7,0.806,0.443,1954,53602
52,Atlanta B,7,Cruiser,93.1,100.0,100.0,1.169,2019.8,0.887,0.578,889,22359
53,Yamato,10,Battleship,93.0,73.9,73.2,1.168,1801.0,0.752,0.382,2298,52075
54,Prins van Oranje,10,Cruiser,92.8,73.3,64.9,1.167,2177.9,0.805,0.443,709,16360
55,Incheon,10,Cruiser,92.7,72.7,63.2,1.166,2276.5,0.843,0.503,409,8548
56,Montana,10,Battleship,92.6,72.0,70.7,1.165,1821.6,0.755,0.392,1847,41440
57,Vallejo,9,Cruiser,92.4,96.0,94.8,1.164,2081.8,0.843,0.503,147,3253
58,Almirante Irízar,10,Cruiser,92.4,71.4,61.4,1.164,2365.5,0.904,0.53,72,1085
59,Komissar,10,Cruiser,92.4,71.4,61.4,1.164,2191.7,0.814,0.459,199,4285
60,Atlanta,7,Cruiser,92.0,99.0,97.8,1.162,1869.8,0.804,0.465,6831,230322
61,Gibraltar,10,Cruiser,91.9,70.2,57.9,1.161,2260.8,0.821,0.455,78,1577
62,Weimar,7,Cruiser,91.8,98.1,95.7,1.16,2105.1,0.904,0.59,2108,72839
63,Stalingrad,10,Cruiser,91.6,69.6,56.1,1.159,2096.2,0.804,0.461,1104,24720
64,Hawaii Golden,10,Cruiser,91.6,69.6,56.1,1.159,2357.0,0.9,0.554,134,1906
65,Sims,7,Destroyer,91.4,97.1,100.0,1.158,1922.9,0.843,0.59,1664,25129
66,Prinz Rupprecht,9,Battleship,91.4,95.3,94.6,1.158,2014.1,0.847,0.505,3279,68678
67,Kitakami,10,Cruiser,91.1,68.3,52.6,1.157,2335.2,0.825,0.488,210,4213
68,Manteuffel,9,Cruiser,91.0,94.7,93.1,1.156,2175.2,0.912,0.58,2055,34540
69,Austin,10,Cruiser,91.0,67.7,50.9,1.156,2136.8,0.804,0.464,503,8759
70,Neptune,9,Cruiser,90.7,94.0,91.4,1.154,2122.5,0.86,0.541,2592,61973
71,Moskva,10,Cruiser,90.7,67.1,49.1,1.154,2055.7,0.808,0.46,1813,42982
72,Annapolis,11,Cruiser,90.4,90.5,85.7,1.152,1987.9,0.742,0.357,572,9687
73,Utrecht,10,Cruiser,90.3,66.5,47.4,1.15,2258.2,0.805,0.456,718,12054
74,Monmouth,10,Cruiser,90.1,65.8,45.6,1.149,2186.3,0.824,0.483,244,4862
75,L-20,8,Submarine,90.0,99.4,87.5,1.148,2215.5,0.856,0.501,704,19328
76,Alexander Nevsky,10,Cruiser,90.0,65.2,43.9,1.148,2037.9,0.808,0.449,518,8129
77,Svea,10,Cruiser,89.7,64.6,42.1,1.146,2005.3,0.774,0.419,230,3942
78,Suzuya,9,Cruiser,89.6,93.3,89.7,1.143,2279.2,0.88,0.535,358,7310
79,AL Massachusetts,8,Battleship,89.5,98.9,100.0,1.142,1945.3,0.879,0.495,62,981
80,Plymouth,10,Cruiser,89.3,64.0,40.4,1.141,2068.2,0.791,0.434,165,3077
81,Yamato Kai,10,Battleship,89.3,64.0,68.3,1.141,2006.8,0.807,0.456,33,1111
82,Brisbane,10,Cruiser,89.1,62.7,38.6,1.14,1878.4,0.775,0.424,1120,28221
83,Kushiro,10,Cruiser,88.9,62.1,36.8,1.139,2035.2,0.867,0.524,342,4911
84,Admiral Schröder,9,Cruiser,88.8,92.7,87.9,1.137,2177.4,0.878,0.58,1061,19508
85,Petropavlovsk,10,Cruiser,88.8,61.5,35.1,1.137,2095.3,0.818,0.478,1453,28685
86,Yoshino,10,Cruiser,88.5,60.9,33.3,1.135,1758.2,0.762,0.394,1269,34859
87,Brennus,10,Cruiser,88.4,60.2,31.6,1.132,2309.3,0.831,0.503,226,4762
88,Kronshtadt,9,Cruiser,88.3,92.0,86.2,1.131,2001.7,0.831,0.488,140,1660
89,Cassard,10,Destroyer,88.1,59.6,100.0,1.13,2230.1,0.851,0.527,161,2663
90,Cerberus,10,Cruiser,88.0,59.0,29.8,1.127,2106.6,0.813,0.438,227,3504
91,Shimakaze,10,Destroyer,87.9,58.4,97.4,1.124,1797.3,0.794,0.456,1786,61735
92,Georg Hoffmann Golden,10,Destroyer,87.9,58.4,97.4,1.124,2309.9,0.883,0.563,65,1180
93,Burrows,10,Destroyer,87.9,58.4,97.4,1.124,2132.0,0.904,0.549,39,478
94,Cleveland,8,Cruiser,87.4,98.3,100.0,1.123,1772.2,0.856,0.476,8404,202693
95,Rhode Island,10,Battleship,87.3,56.5,65.9,1.121,2174.3,0.824,0.482,515,8971
96,Wahnsinn,8,Battleship,87.3,97.7,98.0,1.121,1759.1,0.81,0.402,251,4829
97,Pommern,9,Battleship,87.0,91.3,92.9,1.12,1897.2,0.834,0.484,4878,171611
98,Niord,9,Battleship,86.9,90.7,91.1,1.119,2043.1,0.799,0.444,747,19089
99,Bungo,10,Battleship,86.9,55.9,63.4,1.119,2050.7,0.813,0.461,508,9711
100,Goliath,10,Cruiser,86.9,55.9,28.1,1.119,1968.5,0.787,0.417,221,3281
101,Mikhail Kutuzov,8,Cruiser,86.5,97.2,98.4,1.118,1995.9,0.875,0.514,1171,29758
102,Iwami,9,Battleship,86.5,90.0,89.3,1.118,1777.3,0.794,0.441,1519,40786
103,Bourgogne,10,Battleship,86.2,54.7,61.0,1.117,1999.6,0.784,0.432,1191,21273
104,Cross of Dorn,8,Cruiser,86.1,96.6,96.8,1.116,1953.4,0.851,0.464,524,27492
105,Le Havre,9,Cruiser,86.1,89.3,84.5,1.116,1954.7,0.879,0.526,93,1566
106,Mainz B,8,Cruiser,85.8,96.0,95.2,1.113,1967.5,0.855,0.485,1436,99464
107,Navarin,9,Battleship,85.8,88.7,87.5,1.113,2111.8,0.844,0.509,382,5986
108,Bayard,8,Cruiser,85.6,95.5,93.7,1.112,2005.2,0.863,0.496,2364,83406
109,La Pampa,10,Destroyer,85.6,54.0,89.7,1.112,2182.4,0.871,0.554,285,10095
110,Amiral Lartigue,10,Cruiser,85.6,54.0,26.3,1.112,1958.4,0.857,0.523,58,1002
111,Giuseppe Verdi,9,Battleship,85.2,88.0,85.7,1.111,2053.0,0.848,0.5,495,8213
112,Harugumo,10,Destroyer,85.2,52.8,87.2,1.111,1931.2,0.846,0.499,850,14575
113,BA Hovercraft,9,Battleship,85.2,88.0,85.7,1.111,2137.8,0.793,0.461,73,1318
114,Patrie,11,Battleship,84.8,85.7,85.7,1.11,1835.6,0.706,0.334,199,3853
115,Yimeng,9,Battleship,84.8,86.7,82.1,1.11,2186.3,0.892,0.545,165,3112
116,Georgia,9,Battleship,84.5,86.0,80.4,1.109,2044.6,0.851,0.523,1178,22976
117,Kremlin,10,Battleship,84.3,52.2,58.5,1.108,1891.0,0.784,0.432,650,9784
118,St. Vincent,10,Battleship,84.3,52.2,58.5,1.108,1915.1,0.8,0.445,525,7502
119,Hayate,10,Destroyer,84.3,52.2,84.6,1.108,1939.9,0.831,0.489,734,22674
120,Puerto Rico,10,Cruiser,83.9,50.3,24.6,1.107,1953.9,0.795,0.438,445,6736
121,Henri IV,10,Cruiser,83.8,49.7,22.8,1.106,1937.9,0.779,0.422,442,5636
122,République,10,Battleship,83.7,49.1,53.7,1.105,1866.6,0.78,0.424,789,13716
123,Edgar,11,Cruiser,83.7,81.0,71.4,1.105,1818.9,0.715,0.338,223,3409
124,Cursed Fang,9,Cruiser,83.4,85.3,82.8,1.104,2170.7,0.891,0.533,152,3235
125,Chapayev,8,Cruiser,83.3,94.9,92.1,1.103,1882.8,0.842,0.467,3203,64225
126,Shikishima,10,Battleship,83.3,48.4,51.2,1.103,1933.1,0.799,0.441,921,20423
127,Illinois,9,Battleship,83.3,84.7,78.6,1.103,2129.7,0.861,0.527,1261,25167
128,Ibuki,9,Cruiser,82.9,84.0,81.0,1.102,1875.4,0.816,0.47,1587,28900
129,Buffalo,9,Cruiser,82.9,84.0,81.0,1.102,1855.6,0.825,0.476,2147,40581
130,Scharnhorst B,7,Battleship,82.6,96.2,100.0,1.101,1816.8,0.888,0.584,1230,28042
131,Mainz,8,Cruiser,82.5,94.3,90.5,1.1,1963.9,0.857,0.479,5299,370556
132,Thunderer,10,Battleship,82.3,47.8,48.8,1.099,1959.6,0.785,0.431,672,11772
133,Cristoforo Colombo,10,Battleship,82.3,47.8,48.8,1.099,1928.9,0.797,0.441,1623,29308
134,Mahtaga,9,Battleship,82.3,82.7,76.8,1.099,1937.5,0.834,0.437,119,2206
135,Cambridge,9,Cruiser,81.9,82.0,77.6,1.098,2197.0,0.857,0.498,239,3886
136,Clausewitz,11,Cruiser,81.9,76.2,57.1,1.098,1577.2,0.672,0.296,257,6015
137,Venezia,10,Cruiser,81.6,46.6,21.1,1.097,1886.5,0.764,0.408,572,8152
138,Pommern B,9,Battleship,81.6,81.3,75.0,1.097,1974.9,0.843,0.504,690,15820
139,Seattle,9,Cruiser,81.4,80.7,75.9,1.096,1918.1,0.837,0.5,2335,46398
140,Alberico da Barbiano,10,Destroyer,81.4,46.0,82.1,1.096,2079.8,0.823,0.486,614,10577
141,Yueyang,10,Destroyer,81.4,46.0,82.1,1.096,2001.9,0.802,0.478,344,9699
142,Brandenburg B,8,Battleship,81.0,93.8,96.0,1.094,1873.6,0.856,0.453,494,18760
143,Georg Hoffmann,10,Destroyer,80.8,44.7,76.9,1.093,2043.9,0.834,0.503,442,11331
144,Aberdeen,9,Cruiser,80.8,80.0,74.1,1.093,1867.6,0.843,0.424,20,189
145,Flint,7,Cruiser,80.6,95.2,93.5,1.091,1695.0,0.846,0.484,1835,47889
146,Vermont,10,Battleship,80.6,44.1,43.9,1.091,1872.9,0.783,0.42,592,12164
147,Druid,10,Destroyer,80.6,44.1,74.4,1.091,2114.6,0.863,0.502,75,955
148,BA Takahashi,9,Cruiser,80.6,79.3,72.4,1.091,2135.5,0.842,0.504,80,1427
149,Karl XIV Johan,9,Battleship,80.0,78.7,73.2,1.09,1942.7,0.83,0.468,1072,21605
150,Ägir,9,Cruiser,80.0,78.7,70.7,1.09,1711.3,0.813,0.458,1395,25098
151,Defence,10,Cruiser,80.0,42.9,19.3,1.09,1912.9,0.825,0.469,334,4879
152,Daisen,9,Battleship,79.6,77.3,71.4,1.089,1922.5,0.843,0.512,285,5299
153,Attilio Regolo,10,Destroyer,79.6,42.2,71.8,1.089,1890.4,0.837,0.512,69,937
154,Rhode Island B,10,Battleship,79.4,41.6,41.5,1.088,1957.3,0.837,0.48,212,3984
155,Incomparable,10,Battleship,79.2,41.0,39.0,1.087,2017.6,0.817,0.477,581,11133
156,Brisbane B,10,Cruiser,79.1,40.4,17.5,1.086,1941.8,0.815,0.469,227,3343
157,Regele Carol I,8,Cruiser,79.1,93.2,88.9,1.086,2033.7,0.869,0.498,24,421
158,Oregon,10,Battleship,78.8,39.8,36.6,1.085,1980.1,0.678,0.333,893,11968
159,Dalian,9,Cruiser,78.8,76.7,69.0,1.085,2028.5,0.831,0.478,264,3295
160,Willem de Eerste,10,Battleship,78.8,39.8,36.6,1.085,1966.3,0.8,0.432,174,2694
161,Iwami B,9,Battleship,78.8,76.7,69.6,1.085,1905.5,0.831,0.472,207,4299
162,Messina,9,Cruiser,78.8,76.7,69.0,1.085,1912.8,0.871,0.493,37,375
163,Tirpitz,8,Battleship,78.1,92.6,94.0,1.084,1730.6,0.814,0.402,4469,169736
164,AL Shimakaze,10,Destroyer,78.1,38.5,69.2,1.084,2017.0,0.84,0.519,159,4713
165,Shchors,7,Cruiser,77.9,94.3,91.3,1.083,1717.6,0.818,0.482,6870,135252
166,Ipiranga,8,Battleship,77.9,92.0,92.0,1.083,1882.6,0.877,0.495,6268,108713
167,Mogami,8,Cruiser,77.6,91.5,87.3,1.081,1713.1,0.808,0.41,3890,104741
168,San Martín,10,Cruiser,77.6,37.9,15.8,1.081,2038.2,0.816,0.459,325,3836
169,AL Ägir,9,Cruiser,77.3,74.7,65.5,1.078,1875.5,0.838,0.484,261,5148
170,Takahashi,9,Cruiser,77.2,74.0,63.8,1.076,1893.8,0.836,0.498,1342,23575
171,Missouri,9,Battleship,77.1,73.3,67.9,1.075,1876.9,0.808,0.457,740,15035
172,Benham,9,Destroyer,77.1,73.3,100.0,1.075,2136.7,0.873,0.56,746,27678
173,Blücher,9,Cruiser,77.1,73.3,62.1,1.075,1974.3,0.786,0.437,581,10780
174,Irian,8,Cruiser,77.1,90.9,85.7,1.075,1834.4,0.83,0.433,796,34564
175,Jean Bart,9,Battleship,76.5,71.3,66.1,1.074,1865.1,0.814,0.488,547,10387
176,Wisconsin,10,Battleship,76.5,37.3,31.7,1.074,1949.4,0.802,0.457,1444,27953
177,Admiral Ushakov,11,Battleship,76.5,71.4,71.4,1.074,1785.0,0.688,0.327,100,1196
178,Castilla,10,Cruiser,76.5,37.3,14.0,1.074,1904.5,0.789,0.428,335,4658
179,BA Montana,10,Battleship,76.0,36.0,29.3,1.073,2086.6,0.822,0.471,198,6863
180,Tirpitz B,8,Battleship,75.8,90.3,90.0,1.072,1820.6,0.837,0.435,1246,41917
181,Marcantonio Colonna,8,Battleship,75.8,90.3,90.0,1.072,1861.3,0.846,0.443,472,8615
182,Ferrante Gonzaga,9,Cruiser,75.6,70.7,60.3,1.071,2162.5,0.886,0.55,194,2798
183,Van Speijk,9,Cruiser,75.6,70.7,60.3,1.071,1890.1,0.836,0.444,53,1530
184,Gouden Leeuw,10,Cruiser,75.3,35.4,12.3,1.07,1798.8,0.78,0.419,950,13592
185,Yoshino B,10,Cruiser,75.3,35.4,12.3,1.07,1800.2,0.78,0.424,206,4038
186,Marseille,10,Cruiser,75.0,34.2,8.8,1.069,1880.0,0.776,0.413,282,3278
187,Thor,10,Battleship,75.0,34.2,26.8,1.069,1893.3,0.834,0.432,208,3328
188,Jean Bart B,9,Battleship,74.8,69.3,64.3,1.068,1879.2,0.832,0.486,610,10215
189,Gearing,10,Destroyer,74.8,32.9,66.7,1.068,1628.4,0.779,0.422,486,9708
190,Conte Verde,10,Battleship,74.5,32.3,24.4,1.067,2013.6,0.804,0.461,89,1282
191,Friedrich der Grosse,9,Battleship,74.4,68.7,62.5,1.065,1669.8,0.787,0.429,2484,44286
192,Sejong,9,Cruiser,74.4,68.7,56.9,1.065,1926.9,0.839,0.5,2317,36891
193,Tulsa,9,Cruiser,74.1,67.3,55.2,1.063,1917.4,0.816,0.467,504,7174
194,Forrest Sherman,10,Destroyer,74.1,31.7,64.1,1.063,1828.3,0.82,0.474,736,11610
195,Z-52,10,Destroyer,74.1,31.7,64.1,1.063,1722.9,0.78,0.413,189,3067
196,Kozma Minin,9,Cruiser,74.1,67.3,55.2,1.063,1868.0,0.816,0.475,106,1937
197,Mengchong,9,Cruiser,73.5,66.0,51.7,1.062,1857.8,0.862,0.488,35,494
198,Roon,9,Cruiser,73.4,65.3,50.0,1.061,1696.4,0.791,0.432,1999,35012
199,Admiral Hipper,8,Cruiser,73.3,89.2,84.1,1.06,1602.6,0.786,0.374,4764,123501
200,Somers,10,Destroyer,73.3,30.4,59.0,1.06,1809.5,0.802,0.434,46,1344
201,Lugdunum,7,Battleship,73.0,93.3,97.0,1.059,1722.5,0.858,0.421,311,5957
202,Hampshire,8,Cruiser,73.0,88.6,82.5,1.059,1814.7,0.825,0.425,705,21494
203,Massachusetts,8,Battleship,72.7,88.1,86.0,1.057,1784.9,0.845,0.449,2114,60257
204,AL Bismarck,8,Battleship,72.7,88.1,86.0,1.057,1796.7,0.833,0.417,131,2059
205,Tonijn,10,Submarine,72.7,29.8,8.3,1.057,1954.3,0.759,0.407,30,367
206,Duncan,9,Battleship,72.3,64.7,60.7,1.056,1827.2,0.825,0.478,878,14257
207,Alaska,9,Cruiser,72.3,64.7,48.3,1.056,1878.0,0.828,0.498,534,8319
208,AL Azuma,9,Cruiser,72.3,64.7,48.3,1.056,1868.9,0.831,0.485,212,6248
209,Brandenburg,8,Battleship,71.9,86.9,82.0,1.055,1822.4,0.848,0.453,3486,164684
210,Pioneer,10,Cruiser,71.8,29.2,7.0,1.054,1760.0,0.806,0.437,40,618
211,Saint-Louis,9,Cruiser,71.7,62.7,44.8,1.053,1845.2,0.824,0.484,1175,17903
212,Hector,9,Cruiser,71.7,62.7,44.8,1.053,2025.1,0.827,0.498,136,2879
213,Fiji,7,Cruiser,71.4,92.4,89.1,1.052,1626.9,0.812,0.462,7543,172602
214,Scharnhorst,7,Battleship,71.3,91.4,93.9,1.051,1618.5,0.801,0.476,6002,163045
215,Azuma,9,Cruiser,71.3,61.3,41.4,1.051,1754.5,0.826,0.48,1378,40934
216,Ruggiero di Lauria,10,Battleship,71.3,28.6,22.0,1.051,1874.3,0.776,0.416,227,3119
217,Musashi,9,Battleship,70.9,60.7,58.9,1.05,1828.1,0.814,0.46,452,8886
218,Siegfried,9,Cruiser,70.7,60.0,39.7,1.049,1846.8,0.832,0.478,181,2861
219,Vampire II,10,Destroyer,70.7,28.0,56.4,1.049,1971.5,0.839,0.484,91,981
220,München,7,Cruiser,70.4,90.5,87.0,1.047,1718.4,0.867,0.513,858,16050
221,Almirante Oquendo,9,Cruiser,70.3,59.3,37.9,1.046,1968.5,0.832,0.483,918,19742
222,Fuyutsuki,10,Destroyer,70.3,27.3,53.8,1.046,1904.3,0.916,0.557,50,507
223,Louisiana,10,Battleship,70.3,27.3,19.5,1.046,1806.2,0.786,0.418,165,2381
224,Hull,10,Destroyer,69.9,26.1,51.3,1.045,2058.3,0.843,0.512,148,1997
225,PTRPVLSK,10,Cruiser,69.9,26.1,5.3,1.045,1795.3,0.826,0.431,227,3517
226,Massachusetts B,8,Battleship,69.6,86.4,80.0,1.043,1776.9,0.844,0.442,2173,66538
227,Karl XIV Johan B,9,Battleship,69.6,58.7,57.1,1.043,1818.6,0.846,0.499,67,1306
228,U-190,8,Submarine,69.4,85.8,75.0,1.042,1706.6,0.813,0.416,1404,23447
229,Maine,11,Battleship,69.2,66.7,57.1,1.041,1648.7,0.666,0.298,454,7785
230,Helena,7,Cruiser,69.1,89.5,84.8,1.04,1625.4,0.839,0.481,5806,130495
231,Bismarck '41,8,Battleship,69.1,85.2,78.0,1.04,1886.9,0.87,0.449,110,1275
232,Alaska B,9,Cruiser,68.8,58.0,36.2,1.039,1815.9,0.834,0.491,553,10872
233,Nueve de Julio,7,Cruiser,68.8,88.6,82.6,1.039,1657.4,0.821,0.449,827,15063
234,Tianjin,9,Cruiser,68.8,58.0,36.2,1.039,2027.1,0.85,0.513,273,4250
235,Atago B,8,Cruiser,68.8,84.7,81.0,1.039,1704.9,0.811,0.407,602,12310
236,ARP Takao,8,Cruiser,68.3,84.1,79.4,1.038,1669.0,0.809,0.415,835,22624
237,Belfast,7,Cruiser,68.2,87.6,80.4,1.036,1685.7,0.783,0.425,1714,34154
238,Izumo,9,Battleship,68.0,56.7,55.4,1.035,1557.3,0.769,0.412,1649,29272
239,ARP Maya,8,Cruiser,68.0,83.5,77.8,1.035,1796.8,0.848,0.467,222,6064
240,Chikuma II,9,Cruiser,68.0,56.7,32.8,1.035,1796.0,0.788,0.429,358,8847
241,Wujing,9,Battleship,67.6,55.3,53.6,1.034,1662.6,0.788,0.421,283,7292
242,AL Montpelier,8,Cruiser,67.5,83.0,76.2,1.032,1830.9,0.852,0.463,1008,29182
243,Marlborough,9,Battleship,67.5,54.7,51.8,1.032,1798.8,0.78,0.431,227,2978
244,Grozovoi,10,Destroyer,67.5,24.8,48.7,1.032,1718.6,0.827,0.439,82,965
245,Yorck,7,Cruiser,67.1,86.7,78.3,1.031,1447.7,0.787,0.423,7473,141420
246,Sovetsky Soyuz,9,Battleship,66.9,54.0,50.0,1.03,1726.7,0.815,0.459,847,13022
247,Affondatore,11,Battleship,66.9,61.9,42.9,1.03,1672.7,0.712,0.416,53,508
248,Brindisi,9,Cruiser,66.7,53.3,31.0,1.029,1793.1,0.814,0.47,1063,15471
249,Condé,11,Cruiser,66.7,57.1,42.9,1.029,1695.2,0.693,0.34,174,2047
250,Ragnar,10,Destroyer,66.7,24.2,46.2,1.029,1864.7,0.836,0.498,63,764
251,Baltimore,8,Cruiser,66.3,82.4,74.6,1.027,1621.9,0.825,0.432,6014,134654
252,Santander,9,Cruiser,66.3,52.7,29.3,1.027,1902.2,0.851,0.515,1143,15391
253,Adatara,9,Battleship,66.3,52.7,48.2,1.027,1846.2,0.821,0.466,1157,17656
254,Pilus Posterior,9,Battleship,66.3,52.7,48.2,1.027,1765.3,0.83,0.427,84,1533
255,Roon CLR,9,Cruiser,66.3,52.7,29.3,1.027,1727.6,0.797,0.468,48,1170
256,Hildebrand,10,Cruiser,65.6,23.6,3.5,1.026,1889.6,0.798,0.439,244,3785
257,Wichita,8,Cruiser,65.6,81.8,73.0,1.026,1758.0,0.826,0.421,743,17262
258,Riga,9,Cruiser,65.6,50.0,25.9,1.026,1784.0,0.833,0.478,1653,25918
259,Atago,8,Cruiser,65.6,81.8,73.0,1.026,1628.5,0.802,0.399,1866,50780
260,Álvaro de Bazán,10,Destroyer,65.6,23.6,43.6,1.026,1588.2,0.785,0.419,226,3102
261,Mahan,7,Destroyer,64.9,85.7,96.2,1.025,1434.8,0.814,0.462,3369,54663
262,Zieten,8,Battleship,64.9,80.7,76.0,1.025,1702.0,0.834,0.433,5599,136090
263,Odin,8,Battleship,64.6,80.1,74.0,1.024,1749.0,0.836,0.435,1369,33761
264,Salmon,8,Submarine,64.6,80.1,62.5,1.024,1718.0,0.818,0.418,847,14588
265,Piñatian,8,Cruiser,64.4,79.0,69.8,1.023,1543.1,0.801,0.395,195,4216
266,Gdańsk,10,Destroyer,64.2,22.4,41.0,1.022,1862.4,0.84,0.476,167,1902
267,Kitakaze,9,Destroyer,64.1,49.3,97.2,1.021,1914.1,0.884,0.571,3421,99020
268,Elbing,10,Destroyer,64.1,21.7,38.5,1.021,1863.4,0.823,0.484,284,4340
269,Wisconsin Golden,10,Battleship,63.8,21.1,17.1,1.02,1901.8,0.846,0.469,37,531
270,Boise,7,Cruiser,63.7,84.8,76.1,1.019,1650.2,0.822,0.452,1337,25407
271,Tromp,10,Destroyer,63.7,20.5,35.9,1.019,1814.4,0.832,0.469,411,6345
272,Prinz Eugen,8,Cruiser,63.7,78.4,68.3,1.019,1600.7,0.791,0.362,1433,32862
273,Scharnhorst '43,7,Battleship,63.3,83.8,90.9,1.018,1430.4,0.822,0.396,4668,125468
274,Tsurugi,9,Battleship,63.3,48.7,44.6,1.018,1853.2,0.812,0.473,204,3087
275,Novosibirsk,11,Cruiser,63.0,52.4,28.6,1.016,1724.7,0.696,0.328,97,1323
